0;0.0172908;0
0.1;0.106907;0.0998334
0.2;0.199421;0.198669
0.3;0.287576;0.29552
0.4;0.379544;0.389418
0.5;0.473197;0.479426
0.6;0.56268;0.564642
0.7;0.647316;0.644218
0.8;0.724021;0.717356
0.9;0.792356;0.783327
1;0.846032;0.841471
1.1;0.898327;0.891207
1.2;0.945803;0.932039
1.3;0.978291;0.963558
1.4;0.995119;0.98545
1.5;1.00057;0.997495
1.6;0.994637;0.999574
1.7;0.98366;0.991665
1.8;0.96817;0.973848
1.9;0.943977;0.9463
2;0.912652;0.909297
2.1;0.867953;0.863209
2.2;0.811876;0.808496
2.3;0.748752;0.745705
2.4;0.679257;0.675463
2.5;0.602291;0.598472
2.6;0.515456;0.515501
2.7;0.420581;0.42738
2.8;0.325011;0.334988
2.9;0.2294;0.239249
3;0.133664;0.14112
3.1;0.0386068;0.0415807
3.2;-0.0553149;-0.0583741
3.3;-0.149191;-0.157746
3.4;-0.242366;-0.255541
3.5;-0.333836;-0.350783
3.6;-0.423542;-0.44252
3.7;-0.512785;-0.529836
3.8;-0.601475;-0.611858
3.9;-0.683309;-0.687766
4;-0.751979;-0.756802
4.1;-0.812679;-0.818277
4.2;-0.866301;-0.871576
4.3;-0.910677;-0.916166
4.4;-0.946444;-0.951602
4.5;-0.972549;-0.97753
4.6;-0.98793;-0.993691
4.7;-0.992337;-0.999923
4.8;-0.989348;-0.996165
4.9;-0.976053;-0.982453
5;-0.952063;-0.958924
5.1;-0.918599;-0.925815
5.2;-0.875141;-0.883455
5.3;-0.820041;-0.832267
5.4;-0.742778;-0.772764
5.5;-0.665285;-0.70554
5.6;-0.588173;-0.631267
5.7;-0.5112;-0.550686
5.8;-0.434213;-0.464602
5.9;-0.356551;-0.373877
6;-0.27873;-0.279415
6.1;-0.201635;-0.182163
6.2;-0.124082;-0.0830894
